0,157.86
1,157.59
2,157.22
3,156.72
4,156.12
5,155.47
6,154.77
7,154.08
8,153.35
9,152.56
10,151.69
11,150.74
12,149.73
13,148.72
14,147.74
15,146.8
16,145.9
17,145.03
18,144.15
19,143.26
20,142.33
21,141.38
22,140.4
23,139.4
24,138.4
25,137.4
26,136.41
27,135.42
28,134.45
29,133.52
30,132.63
31,131.8
32,131.02
33,130.27
34,129.53
35,128.81
36,128.08
37,127.36
38,126.64
39,125.91
40,125.17
41,124.42
42,123.67
43,122.91
44,122.17
45,121.44
46,120.72
47,120.02
48,119.31
49,118.61
50,117.9
51,117.19
52,116.47
53,115.76
54,115.05
55,114.35
56,113.66
57,112.98
58,112.3
59,111.62
60,110.95
61,110.28
62,109.62
63,108.96
64,108.3
65,107.63
66,106.96
67,106.28
68,105.59
69,104.9
70,104.21
71,103.53
72,102.87
73,102.21
74,101.58
75,100.96
76,100.34
77,99.739
78,99.137
79,98.536
80,97.938
81,97.342
82,96.749
83,96.158
84,95.568
85,94.979
86,94.39
87,93.803
88,93.221
89,92.644
90,92.071
91,91.503
92,90.938
93,90.376
94,89.815
95,89.257
96,88.7
97,88.146
98,87.594
99,87.046
100,86.504
101,85.971
102,85.449
103,84.937
104,84.433
105,83.935
106,83.443
107,82.956
108,82.472
109,81.992
110,81.513
111,81.034
112,80.555
113,80.073
114,79.587
115,79.096
116,78.603
117,78.112
118,77.624
119,77.141
120,76.658
121,76.173
122,75.682
123,75.182
124,74.674
125,74.158
126,73.637
127,73.11
128,72.579
129,72.045
130,71.509
131,70.971
132,70.432
133,69.894
134,69.356
135,68.82
136,68.287
137,67.759
138,67.234
139,66.712
140,66.193
141,65.675
142,65.159
143,64.643
144,64.128
145,63.616
146,63.107
147,62.604
148,62.105
149,61.61
150,61.117
151,60.626
152,60.136
153,59.648
154,59.161
155,58.675
156,58.191
157,57.708
158,57.224
159,56.739
160,56.253
161,55.768
162,55.284
163,54.803
164,54.326
165,53.853
166,53.383
167,52.917
168,52.453
169,51.99
170,51.529
171,51.069
172,50.612
173,50.157
174,49.703
175,49.251
176,48.8
177,48.347
178,47.892
179,47.437
180,46.979
181,46.521
182,46.064
183,45.608
184,45.155
185,44.704
186,44.257
187,43.813
188,43.374
189,42.941
190,42.514
191,42.092
192,41.675
193,41.259
194,40.845
195,40.432
196,40.019
197,39.607
198,39.195
199,38.785
200,38.379
201,37.976
202,37.579
203,37.188
204,36.803
205,36.426
206,36.059
207,35.7
208,35.35
209,35.008
210,34.671
211,34.338
212,34.009
213,33.681
214,33.354
215,33.025
216,32.695
217,32.362
218,32.027
219,31.693
220,31.36
221,31.029
222,30.702
223,30.378
224,30.056
225,29.732
226,29.405
227,29.076
228,28.744
229,28.414
230,28.086
231,27.762
232,27.441
233,27.119
234,26.798
235,26.475
236,26.15
237,25.824
238,25.497
239,25.17
240,24.843
241,24.519
242,24.196
243,23.876
244,23.558
245,23.243
246,22.931
247,22.622
248,22.315
249,22.008
250,21.701
251,21.391
252,21.078
253,20.764
254,20.448
255,20.133
256,19.818
257,19.504
258,19.191
259,18.88
260,18.571
261,18.264
262,17.96
263,17.658
264,17.357
265,17.058
266,16.759
267,16.458
268,16.154
269,15.844
270,15.531
271,15.215
272,14.899
273,14.584
274,14.272
275,13.961
276,13.651
277,13.34
278,13.029
279,12.717
280,12.408
281,12.104
282,11.808
283,11.521
284,11.241
285,10.967
286,10.695
287,10.426
288,10.159
289,9.8936
290,9.6285
291,9.3608
292,9.0886
293,8.8108
294,8.5286
295,8.2442
296,7.96
297,7.677
298,7.3962
299,7.1175
300,6.841
301,6.5668
302,6.2954
303,6.0269
304,5.7622
305,5.5027
306,5.2528
307,5.0183
308,4.805
309,4.6197
310,4.463
311,4.3312
312,4.2171
313,4.114
314,4.0164
315,3.9215
316,3.8258
317,3.7278
318,3.6233
319,3.5136
320,3.4055
321,3.3058
322,3.2157
323,3.1286
324,3.0343
325,2.9251
326,2.7991
327,2.6587
328,2.5124
329,2.3679
330,2.2314
331,2.1048
332,1.9863
333,1.8708
334,1.7514
335,1.622
336,1.4806
337,1.329
338,1.1702
339,1.0112
340,0.86125
341,0.72886
342,0.62363
343,0.54837
344,0.49638
345,0.45182
346,0.40628
347,0.35055
348,0.28885
349,0.22822
